timestamp,name,playing,visits,visitschange,favoritedCount,favoritedchange,upVotes,upVoteschange,downVotes,downVoteschange,upVotespercentage
2025-01-03 15:42:30,Rerailed [UPD!],167,163102,0,2280,0,740,0,182,0,0.0
2025-01-03 18:34:46,Rerailed [UPD!],144,165184,2082,2310,30,753,13,185,3,80.2771855010661
2025-01-03 18:45:47,Rerailed [UPD!],164,165302,118,2312,2,753,0,185,0,80.2771855010661
2025-01-03 18:55:00,Rerailed [UPD!],170,165416,114,2315,3,754,1,185,0,80.29818956336528
2025-01-03 18:58:12,Rerailed [UPD!],157,165447,31,2315,0,754,0,185,0,80.29818956336528
2025-01-03 19:04:05,Rerailed [UPD!],155,165515,68,2316,1,754,0,185,0,80.29818956336528
2025-01-03 19:06:27,Rerailed [UPD!],159,165543,28,2316,0,754,0,185,0,80.29818956336528
2025-01-03 19:06:54,Rerailed [UPD!],159,165549,6,2316,0,754,0,185,0,80.29818956336528
2025-01-03 19:08:12,Rerailed [UPD!],159,165562,13,2316,0,754,0,185,0,80.29818956336528
2025-01-03 19:08:36,Rerailed [UPD!],164,165571,9,2316,0,754,0,185,0,80.29818956336528
2025-01-03 19:18:03,Rerailed [UPD!],143,165649,78,2317,1,754,0,185,0,80.29818956336528
2025-01-03 19:18:38,Rerailed [UPD!],143,165649,0,2317,0,754,0,185,0,80.29818956336528
2025-01-03 19:18:58,Rerailed [UPD!],143,165660,11,2317,0,754,0,185,0,80.29818956336528
2025-01-03 19:19:19,Rerailed [UPD!],143,165660,0,2317,0,754,0,185,0,80.29818956336528
2025-01-03 19:24:06,Rerailed [UPD!],151,165707,47,2317,0,754,0,185,0,80.29818956336528
2025-01-03 19:34:06,Rerailed [UPD!],150,165806,99,2321,4,755,1,186,1,80.23379383634432
2025-01-03 19:44:07,Rerailed [UPD!],144,165919,113,2324,3,757,2,186,0,80.27571580063628
2025-01-03 19:54:08,Rerailed [UPD!],139,165999,80,2325,1,758,1,186,0,80.29661016949152
2025-01-03 20:03:54,Rerailed [UPD!],122,166066,67,2325,0,759,1,186,0,80.31746031746032
2025-01-03 20:13:54,Rerailed [UPD!],111,166160,94,2329,4,759,0,186,0,80.31746031746032
2025-01-03 20:23:55,Rerailed [UPD!],107,166246,86,2330,1,759,0,186,0,80.31746031746032
2025-01-03 20:33:56,Rerailed [UPD!],99,166325,79,2331,1,759,0,187,1,80.23255813953489
2025-01-03 20:43:57,Rerailed [UPD!],100,166410,85,2331,0,759,0,187,0,80.23255813953489
2025-01-03 20:53:57,Rerailed [UPD!],119,166510,100,2334,3,759,0,187,0,80.23255813953489
2025-01-03 21:03:58,Rerailed [UPD!],109,166582,72,2334,0,761,2,188,1,80.18967334035827
2025-01-03 21:13:59,Rerailed [UPD!],113,166674,92,2335,1,763,2,188,0,80.23133543638275
2025-01-03 21:24:00,Rerailed [UPD!],128,166785,111,2336,1,763,0,188,0,80.23133543638275
2025-01-03 21:34:00,Rerailed [UPD!],134,166885,100,2336,0,764,1,189,1,80.16789087093389
2025-01-03 21:44:01,Rerailed [UPD!],125,166964,79,2336,0,764,0,189,0,80.16789087093389
2025-01-03 21:54:02,Rerailed [UPD!],131,167056,92,2337,1,765,1,190,1,80.10471204188482
2025-01-03 22:04:02,Rerailed [UPD!],142,167143,87,2337,0,765,0,190,0,80.10471204188482
2025-01-03 22:14:03,Rerailed [UPD!],143,167235,92,2338,1,765,0,190,0,80.10471204188482
2025-01-03 22:24:04,Rerailed [UPD!],137,167328,93,2339,1,767,2,190,0,80.14629049111808
2025-01-03 22:34:04,Rerailed [UPD!],122,167411,83,2340,1,767,0,190,0,80.14629049111808
2025-01-03 22:44:05,Rerailed [UPD!],137,167506,95,2341,1,768,1,190,0,80.1670146137787
2025-01-03 22:54:06,Rerailed [UPD!],136,167600,94,2341,0,768,0,190,0,80.1670146137787
2025-01-03 23:04:06,Rerailed [UPD!],139,167709,109,2345,4,769,1,190,0,80.18769551616268
2025-01-03 23:14:07,Rerailed [UPD!],144,167806,97,2345,0,770,1,190,0,80.20833333333334
2025-01-03 23:24:08,Rerailed [UPD!],132,167913,107,2348,3,771,1,190,0,80.22892819979188
2025-01-03 23:34:08,Rerailed [UPD!],122,168010,97,2348,0,771,0,190,0,80.22892819979188
2025-01-03 23:44:09,Rerailed [UPD!],103,168104,94,2350,2,772,1,191,1,80.16614745586709
2025-01-03 23:54:10,Rerailed [UPD!],104,168178,74,2356,6,772,0,191,0,80.16614745586709
2025-01-04 00:04:11,Rerailed [UPD!],112,168290,112,2359,3,772,0,191,0,80.16614745586709
2025-01-04 00:14:11,Rerailed [UPD!],112,168391,101,2359,0,772,0,191,0,80.16614745586709
2025-01-04 00:24:12,Rerailed [UPD!],127,168508,117,2360,1,772,0,191,0,80.16614745586709
2025-01-04 00:34:13,Rerailed [UPD!],132,168611,103,2361,1,773,1,191,0,80.18672199170125
2025-01-04 00:44:13,Rerailed [UPD!],150,168703,92,2364,3,774,1,191,0,80.20725388601036
2025-01-04 00:54:14,Rerailed [UPD!],155,168800,97,2366,2,775,1,191,0,80.22774327122153
2025-01-04 01:04:15,Rerailed [UPD!],149,168921,121,2369,3,775,0,191,0,80.22774327122153
2025-01-04 01:14:15,Rerailed [UPD!],148,168997,76,2371,2,775,0,191,0,80.22774327122153
2025-01-04 01:24:16,Rerailed [UPD!],163,169091,94,2373,2,775,0,191,0,80.22774327122153
2025-01-04 01:34:17,Rerailed [UPD!],149,169191,100,2375,2,777,2,191,0,80.26859504132231
2025-01-04 01:44:17,Rerailed [UPD!],137,169275,84,2376,1,778,1,191,0,80.28895768833848
2025-01-04 01:54:18,Rerailed [UPD!],146,169387,112,2377,1,779,1,191,0,80.30927835051547
2025-01-04 02:04:19,Rerailed [UPD!],156,169466,79,2377,0,779,0,191,0,80.30927835051547
2025-01-04 02:14:19,Rerailed [UPD!],171,169576,110,2377,0,779,0,191,0,80.30927835051547
2025-01-04 02:24:20,Rerailed [UPD!],170,169675,99,2378,1,779,0,191,0,80.30927835051547
2025-01-04 02:34:21,Rerailed [UPD!],156,169770,95,2379,1,780,1,191,0,80.32955715756952
2025-01-04 02:44:22,Rerailed [UPD!],164,169865,95,2379,0,780,0,191,0,80.32955715756952
2025-01-04 02:54:22,Rerailed [UPD!],152,169964,99,2380,1,781,1,191,0,80.34979423868313
2025-01-04 03:04:23,Rerailed [UPD!],157,170098,134,2380,0,781,0,191,0,80.34979423868313
2025-01-04 03:14:24,Rerailed [UPD!],173,170235,137,2381,1,782,1,191,0,80.36998972250771
